subject,session,remaining_scan_time_fd_0.1min,remaining_scan_time_fd_0.2min,remaining_scan_time_fd_0.3min,remaining_scan_time_fd_0.4min,remaining_scan_time_fd_0.5min,remaining_scan_time_fd_0.7min,remaining_scan_time_fd_0.9min,remaining_scan_time_fd_1.0min
sub-2123,ses-1,11.82,18.75,20.29,20.6,20.66,20.68,20.68,20.68
sub-3513,ses-1,8.95,13.03,14.76,15.36,15.5,15.51,15.51,15.51
sub-3322,ses-1,13.23,19.28,20.3,20.53,20.63,20.66,20.66,20.67
sub-2300,ses-1,7.31,14.2,15.21,15.46,15.49,15.49,15.51,15.51
sub-3296,ses-1,7.86,14.41,17.56,19.42,19.7,20.07,20.22,20.24
sub-2853,ses-1,13.65,20.07,20.5,20.6,20.63,20.66,20.67,20.67
sub-2662,ses-1,10.05,16.84,19.18,20.04,20.38,20.61,20.67,20.68
sub-2837,ses-1,3.11,9.65,14.19,16.91,18.19,19.49,19.96,20.04
sub-3819,ses-1,8.79,15.76,18.97,20.08,20.37,20.52,20.55,20.57
sub-2200,ses-1,8.33,14.99,17.53,18.54,18.89,19.34,19.55,19.62
sub-2428,ses-1,9.55,16.26,18.87,19.83,20.15,20.44,20.53,20.56
sub-2928,ses-1,12.6,18.28,20.18,20.57,20.64,20.68,20.68,20.68
sub-2022,ses-1,8.38,16.58,19.17,19.92,20.27,20.49,20.59,20.61
sub-2693,ses-1,6.85,9.24,9.67,9.92,9.96,10.11,10.2,10.2
sub-3622,ses-1,6.4,12.71,17.47,19.73,20.57,20.65,20.66,20.66
sub-3043,ses-1,6.99,13.28,16.84,18.95,19.79,20.25,20.41,20.44
sub-2462,ses-1,12.09,18.18,19.49,19.98,20.22,20.34,20.41,20.44
sub-2074,ses-1,9.0,12.59,15.83,19.34,20.3,20.67,20.68,20.68
sub-2021,ses-1,1.31,4.4,7.57,9.73,11.3,13.26,14.48,14.97
sub-2942,ses-1,7.38,15.04,19.18,20.17,20.29,20.44,20.51,20.55
sub-2540,ses-1,7.52,15.22,18.65,20.04,20.58,20.68,20.68,20.68
sub-2426,ses-1,12.4,16.42,19.69,20.41,20.6,20.68,20.68,20.68
sub-3154,ses-1,5.76,14.91,19.92,20.57,20.67,20.68,20.68,20.68
sub-2235,ses-1,3.82,11.8,16.54,18.18,19.16,19.92,20.2,20.27
sub-2509,ses-1,5.41,12.63,17.34,19.58,20.44,20.67,20.68,20.68
sub-3884,ses-1,2.68,6.76,9.02,9.72,9.89,10.04,10.1,10.12
sub-2577,ses-1,4.38,12.7,15.73,16.84,17.43,17.94,18.36,18.52
sub-3026,ses-1,12.39,18.77,20.3,20.54,20.6,20.62,20.65,20.65
sub-3579,ses-1,7.42,11.87,13.73,14.34,14.66,14.86,15.04,15.11
sub-3423,ses-1,6.12,15.1,19.39,20.21,20.43,20.57,20.64,20.65
sub-2895,ses-1,4.93,10.69,15.72,18.82,19.7,20.16,20.32,20.38
sub-2313,ses-1,12.09,18.25,20.27,20.61,20.66,20.68,20.68,20.68
sub-2866,ses-1,6.17,11.5,15.71,18.79,19.94,20.6,20.66,20.66
sub-3574,ses-1,13.57,18.71,20.29,20.49,20.58,20.61,20.66,20.66
sub-3025,ses-1,5.0,14.78,19.12,20.45,20.64,20.67,20.68,20.68
sub-2266,ses-1,2.53,8.24,12.07,14.95,16.7,18.57,19.57,19.87
sub-2309,ses-1,12.61,19.51,20.41,20.65,20.66,20.68,20.68,20.68
sub-3399,ses-1,0.65,4.03,8.26,12.19,15.05,18.26,19.62,19.98
sub-2265,ses-1,5.23,11.17,14.71,18.45,20.19,20.52,20.56,20.6
sub-3516,ses-1,10.34,16.63,19.09,19.93,20.5,20.6,20.62,20.63
sub-2744,ses-1,7.78,13.51,14.86,15.21,15.34,15.47,15.5,15.5
sub-2856,ses-1,4.81,9.05,10.14,10.3,10.32,10.34,10.34,10.34
sub-2806,ses-1,10.75,17.04,20.2,20.61,20.68,20.68,20.68,20.68
sub-3372,ses-1,5.14,12.15,15.97,18.96,19.92,20.6,20.68,20.68
sub-2374,ses-1,9.8,14.22,15.42,15.5,15.51,15.51,15.51,15.51
sub-2295,ses-1,10.7,18.11,19.8,20.16,20.32,20.41,20.47,20.5
sub-3856,ses-1,7.72,15.65,18.96,19.96,20.27,20.52,20.6,20.61
sub-2222,ses-1,1.91,7.48,12.4,15.82,18.07,19.9,20.4,20.47
sub-3371,ses-1,6.25,11.93,15.73,18.68,19.99,20.51,20.59,20.65
